week,stage,week_function,sunday_theme,bila_theme,reference
1,I 看见自己,②价值,恩典中的身份,从恩典认识自己，不再靠表现证明身份,弗2:8–10
2,I 看见自己,④信靠,未知中的信靠,把有限的自己，交托给无限的父神,路12:22–32
3,I 看见自己,③方向,以基督为至宝,把认识基督放在追逐得失之前,腓3:7–14
4,I 看见自己,①身份,单单讨神喜悦,在世人的眼光中，持守对主的信靠,加1:10
5,I 看见自己,②价值,不被拥有定义,记念所领受的恩典，把拥有化为给予,路12:13–21
6,I 看见自己,④信靠,忙乱中选上好,停下忙乱，我心归回主所看重的事,路10:38–42
7,I 看见自己,①身份,在基督里更新,不让过去定义自己，按新身份生活,林后5:17
8,I 看见自己,③方向,不比较不伤害,专心走神给自己的路，不与人比较,加6:4–5
9,I 看见自己,⑦苦难,软弱中显恩典,承认自己的软弱，在基督里成长,林后12:7–10
10,I 看见自己,⑦苦难,瓦器中显能力,接受有限的自己，让神的能力工作,林后4:7
11,I 看见自己,③方向,善解主的心意,把时间、精力留给真正重要的事,弗5:15–17
12,I 看见自己,④信靠,盼望中学等候,没有看见结果，请持续安心等候神,罗8:24–25
13,I 看见自己,①身份,在主里的问责,停下来看看神正在改变我的什么,林后13:5
14,II 重新连接,⑤归属,在基督里成家,来到教会，是要真正进入神的家,弗2:19–22
15,II 重新连接,④信靠,灵里面的看见,认识基督，就能看见神家的计划,约14:1–6
16,II 重新连接,⑤归属,门徒凡物公用,思想使徒所呈现的教会生活模式,徒2:42–47
17,II 重新连接,⑤归属,见证彼此相爱,爱的真谛，是让众人可以认识你,约13:34–35
18,II 重新连接,⑦苦难,以善胜恶可行,面对伤害，选择以基督的方式回应,罗12:17–21
19,II 重新连接,⑦苦难,基督的心为心,承认伤害，在真理中得饶恕与释放,西3:12–13
20,II 重新连接,⑥责任,家庭彼此舍己,在家中先承担自己能承担的责任,弗5:21
21,II 重新连接,⑥责任,彼此担当责任,分清界限，也给别人承担的空间,加6:2–5
22,II 重新连接,⑤归属,爱心说诚实话,对话重要，像基督一样求真务实,弗4:15
23,II 重新连接,④信靠,拉撒路的复活,把绝望带到主前，祂必指引你的路,约11:1–44
24,II 重新连接,⑤归属,基督里的肢体,在家里找到自己可以贡献的一件事,林前12:12–27
25,II 重新连接,⑤归属,主的爱动起来,用一件具体事，服事身边的人,约13:1–17
26,II 重新连接,⑤归属,基督里的幸福,每天在基督里，生活点滴都有意义,约15:1–5
27,III 进入生活,⑧使命,一方向二放胆,重新再来，让基督决定人生新方向,腓1:20–21
28,III 进入生活,③方向,为主基督工作,把工作、服事人当作服事主的机会,西3:23–24
29,III 进入生活,③方向,心意更新变化,心意被福音更新，再作重要选择,罗12:1–2
30,III 进入生活,⑥责任,家庭成为门训,在家庭相处中练习真实的爱与带领,弗6:1–4
31,III 进入生活,⑧使命,岗位见证忠心,在自己的岗位上忠心服事身边的人,林前7:17
32,III 进入生活,②价值,资源变现祝福,把时间、能力或金钱用来祝福别人,林后9:6–8
33,III 进入生活,⑤归属,彼此接纳的事,认同一个与你不同的人，同作门徒,罗15:5–7
34,III 进入生活,⑤归属,化干戈为玉帛,一次冲突中，先承担自己的责任,罗12:18
35,III 进入生活,⑥责任,有主观能动性,看见需要时，主动做一件实际的事,加6:2
36,III 进入生活,⑥责任,按恩赐同服事,用神给你的能力造就身边的人,林前12:4–7
37,III 进入生活,⑥责任,看得合乎中道,不越界，忠心守住神交给你的责任,罗12:3–8
38,III 进入生活,⑧使命,我是世上的光,让人感受到基督徒的生命样式,腓2:14–16
39,III 进入生活,⑧使命,生命如影随形,让别人从你的生活看见怎样跟随基督,林前11:1
40,IV 结出果子,⑧使命,门徒必结果子,先住在基督里，生命自然结果,约15:1–8
41,IV 结出果子,⑦苦难,福音生生不息,神不会停止工作，成长要有耐心,腓1:6
42,IV 结出果子,⑧使命,安慰中的安慰,把自己从神领受的安慰带给一个需要的人,林后1:3–4
43,IV 结出果子,⑧使命,知行信要合一,让一个人从你的生活看见可跟随的样式,腓4:9
44,IV 结出果子,⑧使命,把所学传出去,不只教别人，把自己所学先活出来,路6:40
45,IV 结出果子,⑧使命,以爱牧养群羊,少替别人决定，多陪伴他走下一步,约21:15–17
46,IV 结出果子,⑦苦难,先苦后甜之道,让曾经的苦楚，成为别人今天的安慰,林后1:3–7
47,IV 结出果子,③方向,向主忠心到底,没有掌声的时候，仍继续忠心向前,腓3:12–14
48,IV 结出果子,⑧使命,生命结果常存,把时间投向能够长久祝福人的事,约15:16
49,IV 结出果子,⑥责任,生命胜过财富,让下一代从你的生活看见爱与忠心,腓4:9
50,IV 结出果子,⑧使命,主要的是什么,把未来一项重要托付重新交在主手中,罗12:1–2
51,IV 结出果子,⑧使命,末后未尽的话,回望这一年，记下神已经带来的真实改变,腓4:8–9
52,IV 结出果子,⑧使命,向着标杆直跑,在新的里程，按主的心意作计划,腓3:13–14
